Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
TSLA,398.6407,-7.37,-1.82,1000.0000,350.00,-5025.8626,93160.2977,52.1285,271872.9574
TSLA Jun 16 '28 $350 Call,160.62,-4.97,-3.02,1.0000,209.05,-497.5000,-4918.1600,-23.5255,15987.5000
TSLA Jun 16 '28 $400 Call,141.46,-4.58,-3.15,4.0000,178.815,-1830.0000,-15318.6600,-21.4161,56210.0000
TSLA Jun 16 '28 $450 Call,123.10,-3.73,-2.91,-1.0000,167.76,372.5000,4365.3400,26.0224,-12410.0000
TSLA Jun 16 '28 $500 Call,111.07,-3.73,-3.26,2.0000,152.08,-745.0000,-8327.3300,-27.3769,22090.0000
TSLA Jun 16 '28 $550 Call,99.95,-3.38,-3.31,-4.0000,131.815,1350.0000,13243.3200,25.1185,-39480.0000
TSLA Jun 16 '28 $700 Call,73.67,-2.50,-3.33,-2.0000,106.58,500.0000,6789.6600,31.8544,-14525.0000
TSLA Dec 15 '28 $300 Call,194.51,-6.75,-3.37,7.0000,223.50,-4725.0000,-20812.1480,-13.3024,135642.5000
TSLA Dec 15 '28 $350 Call,171.92,-4.83,-2.72,15.0000,210.664,-7237.5000,-57555.9580,-18.2136,258450.0000
TSLA Dec 15 '28 $400 Call,154.00,-4.92,-3.10,23.0000,180.687,-11327.5000,-61796.2688,-14.8694,353797.5000
TSLA Dec 15 '28 $440 Call,138.39,-4.90,-3.36,-7.0000,166.50,3430.0000,17880.3290,15.3420,-98665.0000
TSLA Dec 15 '28 $450 Call,138.44,-4.90,-3.43,-15.0000,172.0427,7350.0000,51128.9880,19.8133,-206925.0000
TSLA Dec 15 '28 $480 Call,130.40,-4.55,-3.39,10.0000,147.20,-4550.0000,-17530.1400,-11.9086,129675.0000
TSLA Dec 15 '28 $490 Call,123.07,-4.38,-3.33,-10.0000,144.40,4375.0000,17269.8271,11.9601,-127125.0000
TSLA Dec 15 '28 $500 Call,124.81,-4.50,-3.49,22.0000,136.5791,-9900.0000,-26695.6080,-8.8842,273790.0000
TSLA Dec 15 '28 $550 Call,112.20,-4.03,-3.44,-23.0000,137.2661,9257.5000,56028.1378,17.7474,-259670.0000
TSLA Dec 15 '28 $600 Call,103.10,-3.75,-3.52,-20.0000,111.38,7500.0000,17099.6542,7.6766,-205650.0000
TSLA Dec 15 '28 $700 Call,86.69,-3.33,-3.70,-2.0000,117.07,665.0000,6122.6600,26.1511,-17290.0000
