Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
5.00,+98.76%,396.00,398.45,400.90,401.50,-8.64,-2.11%,27,51,unch,0.00%,0.0000,Call,"12:24 ET"
10.00,+97.52%,392.00,395.23,398.45,416.79,unch,unch,0,1,unch,103.71%,0.9988,Call,01/20/26
15.00,+96.28%,388.00,392.50,397.00,0.00,unch,unch,0,0,unch,122.70%,0.9962,Call,N/A
20.00,+95.04%,383.00,388.00,393.00,0.00,unch,unch,0,0,unch,109.56%,0.9954,Call,N/A
25.00,+93.81%,379.00,384.00,389.00,0.00,unch,unch,0,0,unch,104.64%,0.9940,Call,N/A
30.00,+92.57%,375.00,380.00,385.00,0.00,unch,unch,0,0,unch,100.57%,0.9926,Call,N/A
35.00,+91.33%,371.10,375.10,379.10,0.00,unch,unch,0,0,unch,91.27%,0.9923,Call,N/A
40.00,+90.09%,367.00,370.98,374.95,0.00,unch,unch,0,0,unch,88.26%,0.9909,Call,N/A
45.00,+88.85%,362.75,366.73,370.70,0.00,unch,unch,0,0,unch,84.91%,0.9897,Call,N/A
50.00,+87.61%,358.00,363.00,368.00,376.46,unch,unch,0,1,+1,84.42%,0.9877,Call,02/03/26
60.00,+85.13%,349.00,354.00,359.00,0.00,unch,unch,0,0,unch,76.95%,0.9858,Call,N/A
70.00,+82.66%,342.15,346.13,350.10,0.00,unch,unch,0,0,unch,74.78%,0.9820,Call,N/A
80.00,+80.18%,334.10,338.55,343.00,356.92,unch,unch,0,1,unch,73.41%,0.9776,Call,01/29/26
90.00,+77.70%,326.00,330.50,335.00,347.93,unch,unch,0,1,unch,70.72%,0.9736,Call,01/21/26
100.00,+75.22%,318.95,322.98,327.00,331.75,-4.26,-1.27%,24,269,+1,69.31%,0.9687,Call,"10:36 ET"
110.00,+72.74%,311.70,314.83,317.95,338.90,unch,unch,0,32,unch,66.66%,0.9646,Call,01/29/26
120.00,+70.27%,304.25,306.88,309.50,308.15,unch,unch,1,13,unch,66.67%,0.9581,Call,"12:24 ET"
130.00,+67.79%,297.00,300.50,304.00,345.05,unch,unch,0,2,unch,64.92%,0.9528,Call,01/23/26
140.00,+65.31%,290.50,292.68,294.85,331.74,unch,unch,0,9,unch,62.97%,0.9476,Call,01/15/26
150.00,+62.83%,283.20,285.38,287.55,301.68,unch,unch,0,27,unch,61.76%,0.9414,Call,01/29/26
160.00,+60.35%,276.80,278.75,280.70,275.76,-17.48,-5.96%,14,30,+1,61.30%,0.9343,Call,"12:44 ET"
170.00,+57.88%,270.05,271.98,273.90,297.97,unch,unch,0,48,unch,60.55%,0.9272,Call,01/30/26
180.00,+55.40%,263.45,265.38,267.30,268.45,-0.20,-0.07%,2,73,unch,59.90%,0.9198,Call,"11:16 ET"
190.00,+52.92%,257.00,258.75,260.50,287.00,unch,unch,0,37,unch,59.14%,0.9122,Call,01/27/26
195.00,+51.68%,253.20,255.23,257.25,258.07,-0.53,-0.20%,3,2,unch,58.55%,0.9086,Call,"12:13 ET"
200.00,+50.44%,250.65,252.70,254.75,252.15,-14.65,-5.49%,15,81,+3,58.35%,0.9045,Call,"13:48 ET"
210.00,+47.97%,244.55,246.43,248.30,244.65,-5.95,-2.37%,14,38,unch,56.78%,0.8972,Call,"12:36 ET"
220.00,+45.49%,239.05,240.70,242.35,239.98,+239.98,unch,4,80,unch,57.44%,0.8878,Call,"13:05 ET"
230.00,+43.01%,233.20,234.83,236.45,234.20,-17.90,-7.10%,10,24,unch,57.09%,0.8790,Call,"13:05 ET"
240.00,+40.53%,227.55,229.18,230.80,233.01,-8.29,-3.44%,8,27,unch,57.20%,0.8699,Call,"11:17 ET"
250.00,+38.05%,222.15,223.65,225.15,223.90,-13.56,-5.71%,128,285,-2,57.12%,0.8608,Call,"14:37 ET"
260.00,+35.58%,216.75,218.30,219.85,218.60,-11.78,-5.11%,48,21,+3,56.76%,0.8517,Call,"11:45 ET"
270.00,+33.10%,211.55,212.93,214.30,213.00,-12.20,-5.42%,6,32,+1,56.24%,0.8425,Call,"11:47 ET"
280.00,+30.62%,206.55,207.90,209.25,211.70,+0.05,+0.02%,22,12,unch,55.97%,0.8332,Call,"11:14 ET"
290.00,+28.14%,201.65,203.00,204.35,203.49,-2.11,-1.03%,25,53,unch,56.04%,0.8237,Call,"14:04 ET"
300.00,+25.67%,197.00,198.25,199.50,198.16,-12.84,-6.09%,129,235,-3,55.52%,0.8142,Call,"14:06 ET"
310.00,+23.19%,192.35,193.83,195.30,194.67,-10.53,-5.13%,19,79,+1,55.95%,0.8049,Call,"13:59 ET"
320.00,+20.71%,187.85,189.15,190.45,188.77,-15.36,-7.52%,126,68,unch,55.14%,0.7950,Call,"14:26 ET"
330.00,+18.23%,183.55,184.98,186.40,184.28,-15.17,-7.61%,121,36,+1,55.17%,0.7855,Call,"14:22 ET"
340.00,+15.75%,179.25,180.60,181.95,180.53,-13.39,-6.90%,28,50,unch,54.94%,0.7759,Call,"14:14 ET"
350.00,+13.28%,175.20,176.48,177.75,177.40,-9.10,-4.88%,48,122,+8,55.29%,0.7668,Call,"14:15 ET"
360.00,+10.80%,171.20,172.55,173.90,174.36,-11.54,-6.21%,179,218,unch,54.76%,0.7568,Call,"13:29 ET"
370.00,+8.32%,167.35,168.70,170.05,168.59,-10.74,-5.99%,11,79,+3,54.62%,0.7472,Call,"14:08 ET"
380.00,+5.84%,163.45,165.00,166.55,165.90,-10.15,-5.77%,44,105,+2,54.57%,0.7379,Call,"14:35 ET"
390.00,+3.36%,160.00,161.38,162.75,160.90,-11.79,-6.83%,68,90,+9,54.31%,0.7281,Call,"12:29 ET"
400.00,+0.89%,156.55,157.85,159.15,159.25,-13.65,-7.89%,224,584,+32,54.42%,0.7191,Call,"14:29 ET"
410.00,-1.59%,153.55,154.48,155.40,155.27,-11.28,-6.77%,60,141,+4,54.37%,0.7099,Call,"14:35 ET"
420.00,-4.07%,150.20,151.27,152.35,151.00,-12.10,-7.42%,38,319,+58,54.28%,0.7006,Call,"14:05 ET"
430.00,-6.55%,147.05,148.10,149.15,148.82,-9.78,-6.17%,129,261,+1,54.66%,0.6927,Call,"13:34 ET"
440.00,-9.02%,143.95,145.00,146.05,145.37,-11.63,-7.41%,137,169,+2,54.63%,0.6838,Call,"14:28 ET"
450.00,-11.50%,141.10,141.95,142.80,142.38,-9.83,-6.46%,214,"1,139",-51,54.30%,0.6741,Call,"14:32 ET"
460.00,-13.98%,138.00,139.03,140.05,138.90,-10.33,-6.92%,26,113,+2,54.20%,0.6651,Call,"14:06 ET"
470.00,-16.46%,135.15,136.10,137.05,136.00,-10.00,-6.85%,31,86,+12,54.19%,0.6565,Call,"14:26 ET"
480.00,-18.94%,132.40,133.33,134.25,133.50,-7.30,-5.18%,41,163,+12,54.24%,0.6482,Call,"14:14 ET"
490.00,-21.41%,129.75,130.68,131.60,129.10,-13.90,-9.72%,61,110,-7,54.16%,0.6395,Call,"12:49 ET"
500.00,-23.89%,127.20,128.23,129.25,128.60,-11.75,-8.37%,206,"1,345",unch,54.18%,0.6313,Call,"14:38 ET"
510.00,-26.37%,124.65,125.73,126.80,125.60,-10.00,-7.37%,12,57,unch,54.16%,0.6230,Call,"14:06 ET"
520.00,-28.85%,122.20,123.15,124.10,122.42,-11.68,-8.71%,17,122,+12,53.88%,0.6137,Call,"13:52 ET"
530.00,-31.32%,119.85,120.80,121.75,120.65,-10.05,-7.69%,3,70,unch,54.11%,0.6068,Call,"12:59 ET"
540.00,-33.80%,117.50,118.48,119.45,116.92,-10.16,-7.99%,2,61,+1,54.16%,0.5991,Call,"12:52 ET"
550.00,-36.28%,115.35,116.28,117.20,115.98,-9.02,-7.22%,66,190,+15,54.08%,0.5909,Call,"13:52 ET"
560.00,-38.76%,113.15,114.13,115.10,111.80,-11.02,-8.97%,55,37,+8,54.21%,0.5839,Call,"12:47 ET"
570.00,-41.24%,111.35,112.18,113.00,112.60,-5.40,-4.58%,6,112,unch,54.44%,0.5776,Call,"14:06 ET"
580.00,-43.71%,109.35,110.15,110.95,108.72,-11.02,-9.20%,3,61,-4,54.30%,0.5695,Call,"12:45 ET"
590.00,-46.19%,107.35,108.13,108.90,108.87,-7.52,-6.46%,8,39,+3,54.59%,0.5637,Call,"13:22 ET"
600.00,-48.67%,105.40,106.18,106.95,105.92,-8.43,-7.37%,99,508,+74,54.45%,0.5558,Call,"14:28 ET"
610.00,-51.15%,103.50,104.25,105.00,104.65,-8.76,-7.72%,7,35,unch,54.48%,0.5488,Call,"12:59 ET"
620.00,-53.63%,101.40,102.35,103.30,103.00,-8.26,-7.42%,216,12,unch,54.57%,0.5424,Call,"13:57 ET"
630.00,-56.10%,99.75,100.65,101.55,100.61,-7.99,-7.36%,157,20,+1,54.37%,0.5343,Call,"13:50 ET"
640.00,-58.58%,98.10,98.95,99.80,98.92,-7.48,-7.03%,26,122,+1,54.41%,0.5278,Call,"13:47 ET"
650.00,-61.06%,96.20,97.00,97.80,96.42,-9.18,-8.69%,132,239,+16,54.14%,0.5193,Call,"13:52 ET"
660.00,-63.54%,94.50,95.50,96.50,95.86,-7.09,-6.89%,409,20,+3,54.58%,0.5155,Call,"14:30 ET"
670.00,-66.01%,92.85,93.88,94.90,95.55,-5.70,-5.63%,232,49,unch,54.46%,0.5082,Call,"11:41 ET"
680.00,-68.49%,91.30,92.32,93.35,92.70,-7.13,-7.14%,417,74,+1,54.63%,0.5030,Call,"13:20 ET"
690.00,-70.97%,89.80,90.82,91.85,91.10,-7.00,-7.14%,417,74,+2,54.63%,0.4967,Call,"13:07 ET"
700.00,-73.45%,88.55,89.38,90.20,89.95,-7.74,-7.92%,335,"1,064",+108,54.88%,0.4922,Call,"14:37 ET"
710.00,-75.93%,86.95,87.93,88.90,97.58,unch,unch,0,28,-1,54.60%,0.4842,Call,02/03/26
720.00,-78.40%,85.50,86.50,87.50,86.10,-8.70,-9.18%,18,42,+22,54.48%,0.4773,Call,"13:54 ET"
730.00,-80.88%,84.20,85.18,86.15,91.15,-2.50,-2.67%,201,211,+201,54.68%,0.4727,Call,"10:46 ET"
740.00,-83.36%,82.90,83.85,84.80,83.70,-8.35,-9.07%,205,221,+200,54.67%,0.4668,Call,"13:55 ET"
750.00,-85.84%,81.60,82.53,83.45,83.33,-8.39,-9.15%,42,257,+144,54.74%,0.4616,Call,"14:35 ET"
760.00,-88.31%,80.30,81.28,82.25,88.85,unch,unch,0,9,-11,54.79%,0.4563,Call,02/03/26
770.00,-90.79%,79.15,80.08,81.00,79.45,-9.09,-10.27%,1,38,unch,54.62%,0.4493,Call,"12:41 ET"
780.00,-93.27%,77.90,78.85,79.80,81.17,-6.35,-7.26%,50,25,+1,54.88%,0.4458,Call,"11:32 ET"
790.00,-95.75%,76.80,77.82,78.85,79.31,+79.31,unch,2,88,unch,54.97%,0.4412,Call,"11:41 ET"
800.00,-98.23%,75.70,76.65,77.60,76.62,-6.99,-8.36%,275,589,+8,55.09%,0.4367,Call,"14:20 ET"
810.00,-100.70%,74.85,75.60,76.35,75.01,+75.01,unch,31,36,unch,54.85%,0.4296,Call,"13:02 ET"
820.00,-103.18%,73.40,74.33,75.25,74.30,-7.50,-9.17%,60,60,unch,55.04%,0.4259,Call,"14:11 ET"
830.00,-105.66%,72.30,73.25,74.20,73.68,-6.20,-7.76%,8,21,+2,55.24%,0.4225,Call,"13:21 ET"
840.00,-108.14%,71.75,72.43,73.10,72.28,-0.30,-0.41%,12,8,unch,55.15%,0.4167,Call,"13:50 ET"
850.00,-110.61%,70.80,71.43,72.05,71.30,-5.20,-6.80%,96,102,+8,55.21%,0.4122,Call,"13:50 ET"
860.00,-113.09%,69.60,70.35,71.10,70.52,-4.67,-6.21%,103,565,+3,55.33%,0.4084,Call,"13:09 ET"
870.00,-115.57%,68.60,69.35,70.10,69.30,-7.80,-10.12%,321,"2,395",+105,55.17%,0.4022,Call,"14:27 ET"
5.00,-98.76%,0.01,0.10,0.18,0.10,+0.05,+100.00%,6,381,unch,104.73%,-0.0003,Put,"11:38 ET"
10.00,-97.52%,0.00,0.13,0.25,0.15,unch,unch,0,2,unch,96.03%,-0.0008,Put,01/20/26
15.00,-96.28%,0.09,0.82,1.54,0.14,unch,unch,0,14,unch,100.20%,-0.0022,Put,01/22/26
20.00,-95.04%,0.00,0.35,0.70,0.30,unch,unch,0,5,unch,88.00%,-0.0024,Put,01/30/26
25.00,-93.81%,0.38,0.54,0.70,0.70,unch,unch,1,9,unch,80.82%,-0.0027,Put,"09:30 ET"
30.00,-92.57%,0.74,0.84,0.93,0.76,+0.02,+2.70%,3,86,unch,76.09%,-0.0031,Put,"11:42 ET"
35.00,-91.33%,0.77,0.98,1.19,1.02,+0.06,+6.25%,124,187,+10,74.72%,-0.0042,Put,"14:10 ET"
40.00,-90.09%,1.01,1.22,1.43,1.25,+0.02,+1.63%,2,10,unch,72.87%,-0.0051,Put,"11:42 ET"
45.00,-88.85%,1.24,1.48,1.72,1.65,+0.20,+13.79%,1,5,+1,72.45%,-0.0066,Put,"12:31 ET"
50.00,-87.61%,1.63,1.82,2.00,1.90,+0.12,+6.74%,101,457,+176,70.67%,-0.0077,Put,"12:18 ET"
60.00,-85.13%,2.20,2.49,2.78,2.56,unch,unch,2,293,unch,68.21%,-0.0105,Put,"13:05 ET"
70.00,-82.66%,3.00,3.25,3.50,3.30,unch,unch,1,25,unch,66.07%,-0.0137,Put,"10:21 ET"
80.00,-80.18%,4.10,4.28,4.45,4.40,+0.30,+7.32%,5,71,+11,65.12%,-0.0178,Put,"13:53 ET"
90.00,-77.70%,5.10,5.32,5.55,5.25,+0.15,+2.94%,31,222,unch,63.13%,-0.0216,Put,"14:05 ET"
100.00,-75.22%,6.35,6.60,6.85,6.71,+0.11,+1.67%,78,338,+28,62.63%,-0.0268,Put,"12:43 ET"
110.00,-72.74%,7.65,8.00,8.35,7.80,+0.45,+6.12%,2,197,unch,61.04%,-0.0314,Put,"11:41 ET"
120.00,-70.27%,8.90,9.25,9.60,8.77,unch,unch,0,174,unch,60.09%,-0.0370,Put,02/02/26
130.00,-67.79%,10.80,11.03,11.25,10.91,+0.41,+3.90%,14,78,unch,59.35%,-0.0431,Put,"14:14 ET"
140.00,-65.31%,12.35,12.83,13.30,12.71,+0.11,+0.87%,2,44,unch,58.66%,-0.0495,Put,"11:50 ET"
150.00,-62.83%,14.50,14.85,15.20,14.90,+0.79,+5.60%,111,500,+31,58.34%,-0.0568,Put,"13:08 ET"
160.00,-60.35%,16.30,16.78,17.25,16.60,+0.54,+3.36%,4,65,+4,57.25%,-0.0636,Put,"12:12 ET"
170.00,-57.88%,18.70,19.17,19.65,19.30,+1.90,+10.92%,42,203,+4,57.20%,-0.0718,Put,"12:35 ET"
180.00,-55.40%,21.20,21.60,22.00,22.01,+1.31,+6.33%,1,224,+2,56.57%,-0.0796,Put,"12:50 ET"
190.00,-52.92%,23.75,24.23,24.70,24.03,+0.63,+2.69%,7,102,-2,56.26%,-0.0882,Put,"14:32 ET"
195.00,-51.68%,25.15,25.60,26.05,24.90,unch,unch,0,23,unch,55.95%,-0.0923,Put,01/29/26
200.00,-50.44%,26.45,26.95,27.45,26.95,+1.15,+4.46%,5,260,-2,55.71%,-0.0966,Put,"14:20 ET"
210.00,-47.97%,29.55,30.00,30.45,28.50,unch,unch,0,91,+27,55.43%,-0.1058,Put,02/03/26
220.00,-45.49%,32.70,33.13,33.55,32.51,+1.11,+3.54%,90,186,+2,55.11%,-0.1150,Put,"11:44 ET"
230.00,-43.01%,35.95,36.40,36.85,33.45,unch,unch,0,79,+1,54.80%,-0.1246,Put,02/03/26
240.00,-40.53%,39.25,39.73,40.20,40.15,+3.25,+8.81%,21,111,-1,54.73%,-0.1345,Put,"12:29 ET"
250.00,-38.05%,42.95,43.43,43.90,44.60,+2.40,+5.69%,790,148,unch,54.25%,-0.1444,Put,"12:51 ET"
260.00,-35.58%,46.70,47.28,47.85,47.15,+2.34,+5.22%,2,270,+16,53.98%,-0.1546,Put,"12:19 ET"
270.00,-33.10%,50.65,51.22,51.80,51.17,+2.30,+4.71%,20,507,+106,53.82%,-0.1651,Put,"13:47 ET"
280.00,-30.62%,54.60,55.25,55.90,55.55,+2.89,+5.49%,117,"2,247",+643,53.78%,-0.1757,Put,"12:27 ET"
290.00,-28.14%,58.85,59.55,60.25,59.55,+2.85,+5.03%,10,66,+7,53.45%,-0.1864,Put,"13:59 ET"
300.00,-25.67%,63.35,64.10,64.85,63.35,+2.14,+3.50%,140,549,+41,52.96%,-0.1970,Put,"13:45 ET"
310.00,-23.19%,67.95,68.63,69.30,69.45,+5.45,+8.52%,164,657,+5,53.19%,-0.2078,Put,"12:31 ET"
320.00,-20.71%,72.65,73.33,74.00,73.45,+4.35,+6.30%,142,132,unch,53.11%,-0.2184,Put,"14:29 ET"
330.00,-18.23%,77.55,78.25,78.95,79.15,+5.11,+6.90%,32,351,+12,52.95%,-0.2299,Put,"12:31 ET"
340.00,-15.75%,82.65,83.33,84.00,83.15,+2.84,+3.54%,43,343,+1,52.78%,-0.2408,Put,"14:00 ET"
350.00,-13.28%,87.85,88.63,89.40,89.33,+5.66,+6.76%,63,256,+1,53.16%,-0.2513,Put,"13:03 ET"
360.00,-10.80%,93.15,93.83,94.50,93.50,+1.00,+1.08%,73,78,unch,52.55%,-0.2633,Put,"12:07 ET"
370.00,-8.32%,98.65,99.33,100.00,100.55,+100.55,unch,13,72,unch,52.64%,-0.2737,Put,"12:31 ET"
380.00,-5.84%,104.15,105.03,105.90,104.95,+3.93,+3.89%,46,308,+11,52.55%,-0.2851,Put,"14:37 ET"
390.00,-3.36%,109.85,110.73,111.60,110.55,+2.47,+2.29%,25,179,unch,52.49%,-0.2956,Put,"13:45 ET"
400.00,-0.89%,115.75,116.60,117.45,116.20,+4.70,+4.22%,57,447,+25,52.36%,-0.3078,Put,"13:56 ET"
410.00,+1.59%,121.70,122.58,123.45,123.62,+6.07,+5.16%,9,78,+7,52.49%,-0.3177,Put,"12:44 ET"
420.00,+4.07%,127.80,128.55,129.30,127.79,+3.79,+3.06%,17,590,+114,52.26%,-0.3293,Put,"14:33 ET"
430.00,+6.55%,134.30,135.03,135.75,134.94,+4.55,+3.49%,3,122,+16,52.46%,-0.3394,Put,"14:13 ET"
440.00,+9.02%,140.25,141.18,142.10,139.55,unch,unch,1,427,unch,52.40%,-0.3509,Put,"11:26 ET"
450.00,+11.50%,146.70,147.63,148.55,147.50,+4.56,+3.19%,9,235,+1,52.34%,-0.3610,Put,"13:40 ET"
460.00,+13.98%,153.20,154.13,155.05,149.99,unch,unch,0,58,unch,52.36%,-0.3707,Put,02/02/26
470.00,+16.46%,159.80,160.75,161.70,160.12,+160.12,unch,1,56,unch,52.11%,-0.3826,Put,"12:01 ET"
480.00,+18.94%,166.15,167.23,168.30,160.00,unch,unch,0,59,-1,52.25%,-0.3916,Put,02/03/26
490.00,+21.41%,173.35,174.33,175.30,172.45,+0.10,+0.06%,"2,124",27,unch,52.36%,-0.4021,Put,"12:12 ET"
500.00,+23.89%,179.95,181.08,182.20,180.43,+5.43,+3.10%,"2,462","2,182",+3,52.04%,-0.4147,Put,"14:01 ET"
510.00,+26.37%,187.25,188.25,189.25,187.90,unch,unch,2,29,unch,52.22%,-0.4271,Put,"11:48 ET"
520.00,+28.85%,194.35,195.38,196.40,194.88,+7.98,+4.27%,924,"8,209",unch,52.17%,-0.4379,Put,"12:28 ET"
530.00,+31.32%,201.50,202.55,203.60,199.73,-0.32,-0.16%,2,10,unch,52.36%,-0.4459,Put,"11:06 ET"
540.00,+33.80%,208.75,209.80,210.85,207.70,-0.10,-0.05%,2,1,unch,52.35%,-0.4554,Put,"12:14 ET"
550.00,+36.28%,216.15,217.18,218.20,206.43,unch,unch,0,120,unch,52.37%,-0.4640,Put,01/30/26
560.00,+38.76%,223.15,224.30,225.45,212.23,unch,unch,0,11,unch,52.27%,-0.4731,Put,01/28/26
570.00,+41.24%,231.00,232.08,233.15,231.15,+3.40,+1.49%,4,2,unch,52.40%,-0.4809,Put,"14:33 ET"
580.00,+43.71%,238.55,239.65,240.75,228.24,unch,unch,0,17,unch,52.42%,-0.4890,Put,01/30/26
590.00,+46.19%,246.20,247.30,248.40,249.10,+249.10,unch,4,16,unch,52.45%,-0.4980,Put,"12:39 ET"
600.00,+48.67%,253.95,255.03,256.10,244.16,unch,unch,0,174,-1,52.49%,-0.5058,Put,02/03/26
610.00,+51.15%,261.35,262.50,263.65,0.00,unch,unch,0,0,unch,52.41%,-0.5142,Put,N/A
620.00,+53.63%,268.80,270.15,271.50,265.85,unch,unch,0,8,unch,52.37%,-0.5290,Put,02/02/26
630.00,+56.10%,276.70,278.08,279.45,0.00,unch,unch,0,0,unch,52.39%,-0.5520,Put,N/A
640.00,+58.58%,284.65,286.03,287.40,0.00,unch,unch,0,0,unch,52.38%,-0.5595,Put,N/A
650.00,+61.06%,293.10,294.35,295.60,280.10,unch,unch,0,13,unch,52.51%,-0.5660,Put,01/27/26
660.00,+63.54%,300.80,302.15,303.50,0.00,unch,unch,0,0,unch,52.40%,-0.5739,Put,N/A
670.00,+66.01%,308.85,310.25,311.65,0.00,unch,unch,0,0,unch,52.39%,-0.5810,Put,N/A
